,t,a
0,1,3600.0
1,2,3600.0
2,3,3600.0
3,4,3600.0
4,5,3600.0
5,6,3600.0
6,7,3600.0
7,8,3600.0
8,9,3600.0
9,10,3600.0
10,11,3600.0
11,12,3600.0
12,13,3600.0
13,14,3600.0
14,15,3600.0
15,16,3600.0
16,17,3600.0
17,18,3600.0
18,19,3600.0
19,20,3600.0
20,21,3600.0
21,22,3600.0
22,23,3600.0
23,24,3600.0
24,25,3600.0
25,26,3600.0
26,27,3600.0
27,28,3600.0
28,29,3600.0
29,30,3600.0
